time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Futures Open Interest,Crypto Open Interest (Ouverture),Crypto Open Interest (Haut,Crypto Open Interest (Bas),Crypto Open Interest (Fermeture)
1624651200,32195.99,32350,31250,31568.07,140763.444,162338.0119000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624665600,31569.18,32250.5,31273.64,31955.09,127035.498,153631.6565000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624680000,31955.38,32720.52,30620,30700,180833.126,156826.1088500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624694400,30700,31877.56,30120,31758.44,280956.629,160822.6804500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624708800,31758.44,31984.87,30481.06,31511.57,244561.145,166091.8913000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624723200,31512.07,31899,30760.67,31561.63,150233.976,165943.7684500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624737600,31561.63,32289.92,30888.04,32255.56,107767.429,160827.6085000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624752000,32250.15,33187.49,31960,33119.04,160277.864,161677.7966500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624766400,33119.04,33450,32771.51,33252,125982.077,162280.0464000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624780800,33252,33419,32333,33214,181400.319,164705.83525000012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624795200,33213.99,33562,32694.55,33171.2,157431.413,166967.82365000012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624809600,33171.26,33400,32550,32793.43,103219.631,165820.25450000013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624824000,32793.43,34762,32377.3,34687.71,168836.149,165544.84640000015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624838400,34687.71,34998,34233.27,34390.66,105445.21,162927.47610000015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
